title,author,venue,year,class
The WASA2 object-oriented workflow management system,"Gottfried Vossen, Mathias Weske",International Conference on Management of Data,1999,ID240
A user-centered interface for querying distributed multimedia databases,"Isabel F. Cruz, Kimberly M. James",International Conference on Management of Data,1999,ID193
"World Wide Database-integrating the Web, CORBA and databases","Athman Bouguettaya, Boualem Benatallah, Lily Hendra, James Beard, Kevin Smith, Mourad Quzzani",International Conference on Management of Data,1999,ID241
XML-based information mediation with MIX,"Chaitan Baru, Amarnath Gupta, Bertram Lud&#228;scher, Richard Marciano, Yannis Papakonstantinou, Pavel Velikhov, Vincent Chu",International Conference on Management of Data,1999,ID242
The CCUBE constraint object-oriented database system,"Alexander Brodsky, Victor E. Segal, Jia Chen, Paval A. Exarkhopoulo",International Conference on Management of Data,1999,ID236
The Cornell Jaguar project: adding mobility to PREDATOR,"Phillippe Bonnet, Kyle Buza, Zhiyuan Chan, Victor Cheng, Randolph Chung, Takako Hickey, Ryan Kennedy, Daniel Mahashin, Tobias Mayr, Ivan Oprencak, Praveen Seshadri, Hubert Siu",International Conference on Management of Data,1999,ID237
The active MultiSync controller of the cubetree storage organization,"Nick Roussopoulos, Yannis Kotidis, Yannis Sismanis",International Conference on Management of Data,1999,ID238
The Jungle database search engine,"Michael B&#246;hlen, Linas Bukauskas, Curtis Dyreson",International Conference on Management of Data,1999,ID239
ADEPT: an agent-based approach to business process management,"N. R. Jennings, T. J. Norman, P. Faratin",ACM SIGMOD Record ,1998,ID1011
A componentized architecture for dynamic electronic markets,"Benny Reich, Israel Ben-Shaul",ACM SIGMOD Record ,1998,ID1012
Design and implementation of RMP: a virtual electronic market place,"Susanne Boll, Wolfgang Klas, Bernard Battaglin",ACM SIGMOD Record ,1998,ID1013
Discovering Internet marketing intelligence through online analytical web usage mining,"Alex G. B&#252;chner, Maurice D. Mulvenna",ACM SIGMOD Record ,1998,ID1014
Component-based e-commerce: assessment of current practices and future directions,"Martin Bichler, Arie Segev, J. Leon Zhao",ACM SIGMOD Record ,1998,ID1016
Building database-driven electronic catalogs,Sherif Danish,ACM SIGMOD Record ,1998,ID1009
XML and electronic commerce: enabling the network economy,"Bart Meltzer, Robert Glushko",ACM SIGMOD Record ,1998,ID1017
A workflow-based electronic marketplace on the Web,"Asuman Dogac, Ilker Durusoy, Sena Arpinar, Nesime Tatbul, Pinar Koksal, Ibrahim Cingil, Nazife Dimililer",ACM SIGMOD Record ,1998,ID1010
DBIS-toolkit: adaptable middleware for large scale data delivery,"Mehmet Altinel, Demet Aksoy, Thomas Baby, Michael Franklin, William Shapiro, Stan Zdonik",International Conference on Management of Data,1999,ID188
An XJML-based wrapper generator for Web information extraction,"Ling Liu, Wei Han, David Buttler, Calton Pu, Wei Tang",International Conference on Management of Data,1999,ID187
Database patchwork on the Internet,"Reinhard Braumandl, Alfons Kemper, Donald Kossmann",International Conference on Management of Data,1999,ID190
DOMINO: databases fOr MovINg Objects tracking,"Ouri Wolfson, Prasad Sistla, Bo Xu, Jutai Zhou, Sam Chamberlain",International Conference on Management of Data,1999,ID189
The need for distributed asynchronous transactions,"Lyman Do, Prabhu Ram, Pamela Drew",International Conference on Management of Data,1999,ID228
Versions and workspaces in Microsoft repository,"Thomas Bergstraesser, Philip A. Bernstein, Shankar Pal, David Shutt",International Conference on Management of Data,1999,ID227
